"Name","Email","City","Keyword"
"Food Glorious Food","sm_fgf@ciemail.com","dallas","food"
"Mi Sazon Mexican Food","info@misazonrestaurant.com","dallas","food"
"Sabaidee Lao & Thai Street Food","sabaideedallas@gmail.com","dallas","food"
"Crazy Fish Food Truck","tenielle@crazyfishusa.com","dallas","food"
"Real Soul Food Lovers Dallas","realsoulfoodcatering@gmail.com","dallas","food"
"Food Truck Azucar","foodtruckazucar@yahoo.com","dallas","food"
"Shepherd Food Equipment","contact@shepherdfood.com","dallas","food"
"Real Food For Dogs","gisselle@realfoodfordogs.us","dallas","food"
"Southern Recipe Small Batch","southernrecipesmallbatch@rmdadvertising.com","dallas","food"
"Hail Merry","customerservice@hailmerry.com","dallas","food"
"LunchPro","customerservice@lunchpro.com","dallas","food"
"Unleavened Fresh Kitchen","hello@unleavened.com","dallas","food"
"Walt Garrison Foods","t.sullivan@waltgarrisonfoods.com","dallas","food"
"Kevala","info@kevala.net","dallas","food"
"Oak Cliff Beverage Works","media@realsugarsoda.com","dallas","food"
"OTR: On the Rocks Premium Cocktails","info@ontherockscocktails.com","dallas","food"
"Vim Vitae","contact@vimvitae.com","dallas","food"
"Dále Energy","info@dale-energy.net","dallas","food"
"Mealganics LLC","jamie@mealganics.com","dallas","food"
"Bentley's Batch 5","info@bentleysbatch5.com","dallas","food"
"Lord Nut Levington","contact@lordnut.com","dallas","food"
"Supreme Protein","webmaster@supremeprotein.com","dallas","food"
"Vitalize Mints","heather@vitalizemints.com","dallas","food"
"Lady Walton's Cookies","orders@ladywaltons.com","dallas","food"
"Texsom International Wine Awards","info@texsomiwa.com","dallas","food"
"Shrimp Runners","shrimprunners@gmail.com","dallas","food"
"AJ Coffee Company","info@ajcoffee.net","dallas","food"
"1855emithai.com","sale@1855emithai.com","dallas","food"
"Ms. Tip's Dips","mstips_dips@outlook.com","dallas","food"
"Pop Star Handcrafted Popsicles","info@popstardallas.com","dallas","food"
"artizone","info@artizone.com","dallas","food"
"#OccupyDallas @FoodCommittee","occupydallasfood@gmail.com","dallas","food"
"Fluffpop","info@fluffpop.com","dallas","food"
"The Baking Suite","thebakingsuite@gmail.com","dallas","food"
"PURE Design + Catering","purecatering2015@hotmail.com","dallas","food"
"ADub's Wing Rub","info@adubswingrub.com","dallas","food"
"Campisi's Restaurants","campisisrestaurants@gmail.com","dallas","food"
"Elm Street Tattoo","elmstreettattoo@gmail.com","dallas","food"
"El Rancho Supermercado","elrancho.corp@gmail.com","dallas","food"
"Thrasher Coffee","help@thrashercoffee.com","dallas","food"
"SISU Uptown","gm | dan bui: dan.b@sisuuptown.com","dallas","food"
"Hypnotic Emporium","info@hypnoticemporium.com","dallas","food"
"Sissy's Southern Kitchen & Bar","sissy@sissyssouthernkitchen.com","dallas","food"
"Hook Line & Sinker","info@dinedsrg.com","dallas","food"
"Di-Licious Candied Pickles Factory","thekoolaidfactory@gmail.com","dallas","food"
"Bishop Cider Co.","joel@bishopcider.com","dallas","food"
"NYLO Dallas South Side","info.dallas@nylohotels.com","dallas","food"
"Tomato Pie Pizza","tomatopiepizza@gmail.com","dallas","food"
"Grocery Clearance Center","info@groceryclearancecenter.com","dallas","food"
"FROSTED ART BAKERY & STUDIO","bronwen@frostedart.com","dallas","food"
"Wyndham Garden Dallas North","brittany@nighthoteldallas.com","dallas","food"
"Steel City Pops","dallas@steelcitypops.com","dallas","food"
"The Cakes of Casa Latasa","casa.latasa@comcast.net","dallas","food"
"USA Bowl","general@usabowldallas.com","dallas","food"
"Chick-fil-A LBJ & Midway","03439@chick-fil-a.com","dallas","food"
"Sushi Zushi","comments@sushizushi.com","dallas","food"
"Superspar Menlyn Maine","menlyn@webmail.co.za","dallas","food"
"La Calle Doce","hyesenias1993@hotmail.com","dallas","food"
"Dallas Lanches e Cia","dallaslanche@gmail.com","dallas","food"
"Yummi Sushi","info@yummisushi.net","dallas","food"
"El Merendero Restaurante","fredisnunez@att.net","dallas","food"
"El Centro College Food & Hospitality Institute","bo-duke@dcccd.edu","dallas","food"
"7 Sisters Gourmet Food Truck","thincrust1@hotmail.com","dallas","food"
